,TR,K,Lamda,mae_k_fold
7,35,15,0.01,0.041059416093762444
8,35,15,0.1,0.16832555324249657
9,35,20,0.001,0.022630049546030137
10,35,20,0.01,0.0326303559498084
11,35,20,0.1,0.1625161748463396
12,35,25,0.001,0.017379675085629234
13,35,25,0.01,0.027973244194730268
14,35,25,0.1,0.1535034146269052
15,35,30,0.001,0.014757544767005946
16,35,30,0.01,0.02487798612134453
17,35,30,0.1,0.1449097990275412
18,35,35,0.001,0.013102473635094944
19,35,35,0.01,0.022413629599341046
20,35,35,0.1,0.1363935721414649
21,35,40,0.001,0.010881326736225376
22,35,40,0.01,0.020539581626144155
23,35,40,0.1,0.13138624672136506
